order_id,order_total,order_date,customer_name
ord_00053,2196.66,2026-08-28,Customer 053
ord_00054,378.57,2026-08-02,Customer 054
ord_00055,2268.10,2026-08-01,Customer 055
ord_00056,4709.73,2026-08-16,Customer 056
ord_00057,759.62,2026-08-02,Customer 057
ord_00058,2797.32,2026-08-26,Customer 058
ord_00059,1407.31,2026-08-24,Customer 059
ord_00060,489.45,2026-08-10,Customer 060
ord_00061,950.93,2026-08-24,Customer 061
ord_00062,1389.84,2026-08-17,Customer 062
ord_00063,1096.46,2026-08-02,Customer 063
ord_00064,2065.61,2026-08-22,Customer 064
ord_00065,1731.10,2026-08-19,Customer 065
ord_00066,622.44,2026-08-19,Customer 066
ord_00067,808.80,2026-08-09,Customer 067
ord_00068,1250.14,2026-08-22,Customer 068
ord_00069,841.05,2026-08-25,Customer 069
ord_00070,3690.95,2026-08-04,Customer 070
ord_00071,1475.94,2026-08-09,Customer 071
ord_00072,1195.11,2026-08-10,Customer 072
ord_00073,1728.09,2026-08-23,Customer 073
ord_00074,4931.41,2026-08-22,Customer 074
ord_00075,1225.84,2026-08-22,Customer 075
ord_00076,2070.41,2026-08-24,Customer 076
ord_00077,953.12,2026-08-20,Customer 077
ord_00078,774.10,2026-08-17,Customer 078
ord_00079,3398.02,2026-08-28,Customer 079
ord_00080,2556.98,2026-08-09,Customer 080
ord_00081,1656.50,2026-08-23,Customer 081
ord_00082,1837.88,2026-08-05,Customer 082
ord_00083,1417.73,2026-08-19,Customer 083
ord_00084,1158.59,2026-08-26,Customer 084
ord_00085,1521.38,2026-08-12,Customer 085
ord_00086,1395.44,2026-08-28,Customer 086
ord_00087,1931.47,2026-08-05,Customer 087
ord_00088,1443.32,2026-08-06,Customer 088
ord_00089,2112.09,2026-08-24,Customer 089
ord_00090,1612.79,2026-08-24,Customer 090
ord_00091,688.02,2026-08-26,Customer 091
ord_00092,1205.26,2026-08-07,Customer 092
ord_00093,1591.40,2026-08-10,Customer 093
ord_00094,1965.17,2026-08-13,Customer 094
ord_00095,973.04,2026-08-25,Customer 095
ord_00096,892.77,2026-08-18,Customer 096
ord_00097,805.08,2026-08-09,Customer 097
ord_00098,2379.62,2026-08-14,Customer 098
ord_00099,1226.29,2026-08-14,Customer 099
ord_00100,700.17,2026-08-09,Customer 100
ord_00101,1326.75,2026-08-26,Customer 101
ord_00102,1118.84,2026-08-12,Customer 102
ord_00103,449.89,2026-08-11,Customer 103
ord_00104,1156.34,2026-08-17,Customer 104
ord_00105,1023.52,2026-08-13,Customer 105
ord_00106,906.48,2026-08-13,Customer 106
ord_00107,1196.11,2026-08-20,Customer 107
ord_00108,463.26,2026-08-07,Customer 108
ord_00109,2915.76,2026-08-21,Customer 109
ord_00110,522.74,2026-08-26,Customer 110
ord_00111,2029.80,2026-08-06,Customer 111
ord_00112,1121.27,2026-08-03,Customer 112
ord_00113,3829.29,2026-08-22,Customer 113
ord_00114,1599.64,2026-08-16,Customer 114
ord_00115,962.42,2026-08-15,Customer 115
ord_00116,1016.78,2026-08-16,Customer 116
ord_00117,997.16,2026-08-23,Customer 117
ord_00118,1782.69,2026-08-15,Customer 118
ord_00119,4816.56,2026-08-26,Customer 119
